Year,Quarter,Town,3-room,4-room,5-room,Executive
2012,Q2,Geylang,314000,466000,*,*
2012,Q2,Hougang,340500,435000,523000,653500
2012,Q2,Jurong East,343000,437500,*,*
2012,Q2,Jurong West,324000,423000,497500,588000
2012,Q2,Kallang/Whampoa,347000,525000,657500,*
2012,Q2,Marine Parade,410000,*,*,-
2012,Q2,Pasir Ris,*,445000,530000,635000
2012,Q2,Punggol,-,482000,550000,*
2012,Q2,Queenstown,388000,690000,*,*
2012,Q2,Sembawang,-,425000,480000,556000
2012,Q2,Sengkang,*,466500,518000,602000
2012,Q2,Serangoon,345000,480000,552000,*
2012,Q2,Tampines,375000,462500,536000,658000
2012,Q2,Toa Payoh,353000,541500,682500,*
2012,Q2,Woodlands,311500,405000,461000,580000
2012,Q2,Yishun,325000,400000,498000,585000
2012,Q1,Ang Mo Kio,346000,460000,620000,*
2012,Q1,Bedok,335500,432000,576500,*
2012,Q1,Bishan,335000,509000,658500,*
2012,Q1,Bukit Batok,323000,428000,591900,626500
2012,Q1,Bukit Merah,384500,595000,750500,-
2012,Q1,Bukit Panjang,338000,410000,481800,594000
2012,Q1,Bukit Timah,*,*,*,*
2012,Q1,Central,440000,*,*,-
2012,Q1,Choa Chu Kang,*,420000,481500,573900
2012,Q1,Clementi,376500,500000,*,*
2012,Q1,Geylang,308000,457000,682500,*
2012,Q1,Hougang,335000,428000,515000,626900
2012,Q1,Jurong East,337000,430000,517500,*
2012,Q1,Jurong West,308500,414000,491000,570000
2012,Q1,Kallang/Whampoa,355000,502000,668400,*
2012,Q1,Marine Parade,399000,*,*,-
2012,Q1,Pasir Ris,*,439400,510000,630000
2012,Q1,Punggol,-,475500,533000,611000
2012,Q1,Queenstown,375500,638000,*,*
2012,Q1,Sembawang,-,419000,468000,547000
2012,Q1,Sengkang,-,447000,513900,615000
2012,Q1,Serangoon,335500,488000,*,680000
2012,Q1,Tampines,367000,453000,530000,640000
2012,Q1,Toa Payoh,350000,534000,684000,*
2012,Q1,Woodlands,310000,395000,455000,570500
2012,Q1,Yishun,321500,386000,492000,620000
2011,Q4,Ang Mo Kio,350000,455000,621500,*
2011,Q4,Bedok,330000,422400,560000,*
2011,Q4,Bishan,*,520500,678500,*
2011,Q4,Bukit Batok,320000,416500,520000,*
2011,Q4,Bukit Merah,373500,590000,729000,-
2011,Q4,Bukit Panjang,*,408000,486500,600000
2011,Q4,Bukit Timah,-,*,*,*
2011,Q4,Central,460000,*,*,-
2011,Q4,Choa Chu Kang,*,410000,485000,*
2011,Q4,Clementi,375000,495000,*,*
2011,Q4,Geylang,310000,462000,*,*
2011,Q4,Hougang,335000,425000,514000,620000
2011,Q4,Jurong East,330000,420000,528000,*
2011,Q4,Jurong West,312000,412000,478000,555000
2011,Q4,Kallang/Whampoa,330000,513000,*,*
2011,Q4,Marine Parade,*,*,*,-
2011,Q4,Pasir Ris,*,432000,507000,610000
2011,Q4,Punggol,-,474000,523500,*
2011,Q4,Queenstown,365000,655000,*,*
2011,Q4,Sembawang,-,421500,466000,532000
2011,Q4,Sengkang,*,450000,512600,600000
2011,Q4,Serangoon,350000,466000,*,*
2011,Q4,Tampines,362000,448000,523000,643400
2011,Q4,Toa Payoh,338000,565000,721500,*
2011,Q4,Woodlands,305000,392000,445000,565000
2011,Q4,Yishun,319000,384000,487100,564000
2011,Q3,Ang Mo Kio,341500,468000,606400,*
2011,Q3,Bedok,331500,430000,545000,*
2011,Q3,Bishan,*,500000,650000,*
2011,Q3,Bukit Batok,320000,427000,546000,*
2011,Q3,Bukit Merah,376500,578500,712000,-
2011,Q3,Bukit Panjang,*,404900,482900,565000
2011,Q3,Bukit Timah,*,*,*,*
2011,Q3,Central,426500,*,*,-
2011,Q3,Choa Chu Kang,*,409500,465000,571000
2011,Q3,Clementi,361300,506000,*,*
2011,Q3,Geylang,313000,495000,*,*
2011,Q3,Hougang,331500,423000,517500,595000
2011,Q3,Jurong East,325000,415500,495000,*
2011,Q3,Jurong West,300000,400500,475000,569000
2011,Q3,Kallang/Whampoa,345000,515500,639000,*
