Module,Group,Quota,No_of_Bidders,Lowest_Bid,Lowest_Succ_Bid,Highest_Bid,Faculty,newStudent,pAcc,gAcc,Bid_Round,Acad_Yr,Semester
CS1010,SECTIONAL TEACHING 1,8,8,1,1,553,SCIENCE,0,1,0,1A,2011,2
CS1010,SECTIONAL TEACHING 1,2,0,0,0,0,SCHOOL OF COMPUTING,0,1,0,1A,2011,2
CS1010,SECTIONAL TEACHING 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,1,1,0,1A,2011,2
CS1010,SECTIONAL TEACHING 1,12,27,200,800,1151,SCIENCE,1,1,0,1A,2011,2
CS1010,SECTIONAL TEACHING 1,10,7,2,1,20,SCHOOL OF COMPUTING,1,1,0,1A,2011,2
CS1010,SECTIONAL TEACHING 2,2,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1A,2011,2
CS1010,SECTIONAL TEACHING 2,8,2,1,1,1,SCIENCE,0,1,0,1A,2011,2
CS1010,SECTIONAL TEACHING 2,2,0,0,0,0,SCHOOL OF COMPUTING,0,1,0,1A,2011,2
CS1010,SECTIONAL TEACHING 2,1,0,0,0,0,ARTS & SOCIAL SCIENCES,1,1,0,1A,2011,2
CS1010,SECTIONAL TEACHING 2,12,28,55,899,1134,SCIENCE,1,1,0,1A,2011,2
CS1010,SECTIONAL TEACHING 2,11,8,1,1,703,SCHOOL OF COMPUTING,1,1,0,1A,2011,2
CS1010,SECTIONAL TEACHING 3,15,1,107,1,107,SCIENCE,0,1,0,1A,2011,2
CS1010,SECTIONAL TEACHING 3,20,42,1,750,1144,SCIENCE,1,1,0,1A,2011,2
CS1010,SECTIONAL TEACHING 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1B,2011,2
CS1010,SECTIONAL TEACHING 1,2,0,0,0,0,SCHOOL OF COMPUTING,0,1,0,1B,2011,2
CS1010,SECTIONAL TEACHING 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,1,1,0,1B,2011,2
CS1010,SECTIONAL TEACHING 1,3,1,10,1,10,SCHOOL OF COMPUTING,1,1,0,1B,2011,2
CS1010,SECTIONAL TEACHING 2,2,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1B,2011,2
CS1010,SECTIONAL TEACHING 2,6,0,0,0,0,SCIENCE,0,1,0,1B,2011,2
CS1010,SECTIONAL TEACHING 2,2,0,0,0,0,SCHOOL OF COMPUTING,0,1,0,1B,2011,2
CS1010,SECTIONAL TEACHING 2,1,0,0,0,0,ARTS & SOCIAL SCIENCES,1,1,0,1B,2011,2
CS1010,SECTIONAL TEACHING 2,3,0,0,0,0,SCHOOL OF COMPUTING,1,1,0,1B,2011,2
CS1010,SECTIONAL TEACHING 3,14,0,0,0,0,SCIENCE,0,1,0,1B,2011,2
CS1010,SECTIONAL TEACHING 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,2,1,0,2A,2011,2
CS1010,SECTIONAL TEACHING 1,4,1,1,1,1,SCHOOL OF COMPUTING,2,1,0,2A,2011,2
CS1010,SECTIONAL TEACHING 1,3,0,0,0,0,SCHOOL OF COMPUTING,2,0,1,2A,2011,2
CS1010,SECTIONAL TEACHING 2,3,0,0,0,0,ARTS & SOCIAL SCIENCES,2,1,0,2A,2011,2
CS1010,SECTIONAL TEACHING 2,6,14,1,864,1042,SCIENCE,2,1,0,2A,2011,2
CS1010,SECTIONAL TEACHING 2,5,0,0,0,0,SCHOOL OF COMPUTING,2,1,0,2A,2011,2
CS1010,SECTIONAL TEACHING 2,3,0,0,0,0,SCHOOL OF COMPUTING,2,0,1,2A,2011,2
CS1010,SECTIONAL TEACHING 3,14,41,319,882,1100,SCIENCE,2,1,0,2A,2011,2
CS1010,SECTIONAL TEACHING 3,3,0,0,0,0,SCHOOL OF COMPUTING,2,0,1,2A,2011,2
CS1010,SECTIONAL TEACHING 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,2,1,0,2B,2011,2
CS1010,SECTIONAL TEACHING 1,3,0,0,0,0,SCHOOL OF COMPUTING,2,1,0,2B,2011,2
CS1010,SECTIONAL TEACHING 1,3,5,714,801,1382,SCHOOL OF COMPUTING,2,0,1,2B,2011,2
CS1010,SECTIONAL TEACHING 2,3,0,0,0,0,ARTS & SOCIAL SCIENCES,2,1,0,2B,2011,2
CS1010,SECTIONAL TEACHING 2,5,0,0,0,0,SCHOOL OF COMPUTING,2,1,0,2B,2011,2
CS1010,SECTIONAL TEACHING 2,3,5,500,715,1254,SCHOOL OF COMPUTING,2,0,1,2B,2011,2
